current_path	proposed_path	subroutine_rename	verdict	rationale
rotation/getrot.f90	rotation/omega_from_j.f90	getrot -> omega_from_j	PROPOSE	rotation curve from the AM distribution
rotation/getgrid.f90	rotation/rotation_rezone_metric.f90	getgrid -> rotation_rezone_metric	QUERY	chi = log(M)/dm + ... rezoning metric; confirm role
rotation/ovrot.f90	rotation/am_convective_regions.f90	ovrot -> am_convective_regions	PROPOSE	convective flag (incl. overshoot) for AM transport
rotation/solid.f90	rotation/solid_body_omega.f90	solid -> solid_body_omega	PROPOSE	omega from J for solid-body regions
rotation/viscos.f90	rotation/viscosity_diffusivity.f90	viscos -> viscosity_diffusivity	KEEP-OK	near-readable already
rotation/wczimp.f90	rotation/enforce_rotation_profile.f90	wczimp -> enforce_rotation_profile	PROPOSE	imposes specified rotation profiles (2025 feature)
rotation/seculr/seculr.f90	rotation/seculr/secular_transport.f90	seculr -> secular_transport	PROPOSE	AM+composition transport by secular instabilities
rotation/seculr/bandw.f90	rotation/seculr/banded_solver.f90	bandw -> banded_solver	PROPOSE	fixed-10-column banded eliminator
rotation/seculr/ccoeft.f90	rotation/seculr/composition_diffusion_coeffs.f90	ccoeft -> composition_diffusion_coeffs	PROPOSE	coefficients for composition-transport equations
rotation/seculr/dcoeft.f90	rotation/seculr/am_diffusion_coeffs.f90	dcoeft -> am_diffusion_coeffs	PROPOSE	coefficients for AM diffusion equation
rotation/seculr/dadcoeft.f90	rotation/seculr/am_advection_diffusion_coeffs.f90	dadcoeft -> am_advection_diffusion_coeffs	QUERY	advective variant; confirm DAD acronym
rotation/seculr/checkc.f90	rotation/seculr/check_composition.f90	checkc -> check_composition	PROPOSE	anomalous-composition guard
rotation/seculr/checkj.f90	rotation/seculr/check_angular_momentum.f90	checkj -> check_angular_momentum	PROPOSE	AM-conservation guard
rotation/seculr/codiff.f90	rotation/seculr/composition_diffusion.f90	codiff -> composition_diffusion	PROPOSE	composition diffusion from AM transport
rotation/seculr/eq2mod.f90	rotation/seculr/equal_grid_to_model.f90	eq2mod -> equal_grid_to_model	PROPOSE	maps the equal-spaced solve back to model zones
rotation/seculr/getfc.f90	rotation/seculr/zahn_coupling_factor.f90	getfc -> zahn_coupling_factor	PROPOSE	Zahn (1992) FC prescription
rotation/seculr/getqua.f90	rotation/seculr/quadrupole_moment.f90	getqua -> quadrupole_moment	PROPOSE	Sweet/Zahn quadrupole moment
rotation/seculr/mixcom.f90	rotation/seculr/diffuse_composition.f90	mixcom -> diffuse_composition	PROPOSE	orig DIFCOM: composition diffusion solve
rotation/seculr/mixgrid.f90	rotation/seculr/composition_grid.f90	mixgrid -> composition_grid	PROPOSE	equal-spaced grid for the composition solve
rotation/seculr/rotgrid.f90	rotation/seculr/am_transport_grid.f90	rotgrid -> am_transport_grid	PROPOSE	equal-spaced grid for the AM solve
rotation/seculr/ndifcom.f90	rotation/seculr/diffuse_composition_driver.f90	ndifcom -> diffuse_composition_driver	QUERY	N=new DIFCOM wrapper; confirm role vs mixcom
rotation/seculr/vcirc.f90	rotation/seculr/circulation_velocities.f90	vcirc -> circulation_velocities	PROPOSE	per-mechanism instability check + velocities
rotation/shape/fpft.f90	rotation/shape/rotation_shape_factors.f90	fpft -> rotation_shape_factors	PROPOSE	the FP/FT structure-equation correction factors
rotation/shape/func.f90	rotation/shape/equipotential_integrand.f90	func -> equipotential_integrand	PROPOSE	colatitude integrand on the distorted surface
rotation/shape/intmom.f90	rotation/shape/shell_moment_of_inertia.f90	intmom -> shell_moment_of_inertia	PROPOSE	I and dI/domega per unit mass for one shell
rotation/shape/momi.f90	rotation/shape/moment_of_inertia.f90	momi -> moment_of_inertia	PROPOSE	I and dI/domega over a zone range
rotation/microdiff/grsett.f90	rotation/microdiff/gravitational_settling.f90	grsett -> gravitational_settling	PROPOSE	Bahcall & Loeb 1989 settling solve
rotation/microdiff/setup_grsett.f90	rotation/microdiff/gravitational_settling_setup.f90	setup_grsett -> gravitational_settling_setup	PROPOSE	settling zone boundaries + prep
rotation/microdiff/thdiff.f90	rotation/microdiff/thoul_diffusion.f90	thdiff -> thoul_diffusion	PROPOSE	Anne Thoul's diffusion routine
rotation/microdiff/get_imp_diffco.f90	rotation/microdiff/implicit_diffusion_coeffs.f90	get_imp_diffco -> implicit_diffusion_coeffs	PROPOSE	tridiagonal coefficients for the implicit term
rotation/microdiff/microdiff_cod.f90	rotation/microdiff/microdiff_coefficients.f90	microdiff_cod -> microdiff_coefficients	PROPOSE	COD = coefficients of diffusion
rotation/microdiff/lax_wendrof1.f90	rotation/microdiff/lax_wendroff_step1.f90	lax_wendrof1 -> lax_wendroff_step1	PROPOSE	fix the misspelling; predictor step
rotation/microdiff/lax_wendrof2.f90	rotation/microdiff/lax_wendroff_step2.f90	lax_wendrof2 -> lax_wendroff_step2	PROPOSE	corrector step
setup/findsh.f90	setup/locate_shell_boundaries.f90	findsh -> locate_shell_boundaries	PROPOSE	CZ edges + H-burning shell begin/mid/end
setup/hpoint.f90	setup/rezone.f90	hpoint -> rezone	PROPOSE	THE rezoner (shell placement by P/L/X/Z spacing)
setup/hra.f90	setup/harvard_t_tau.f90	hra -> harvard_t_tau	PROPOSE	Harvard Reference Atmosphere T(tau) fit
setup/midmod.f90	setup/mid_timestep_model.f90	midmod -> mid_timestep_model	PROPOSE	structure interpolated to diffusion substeps
setup/reduce.f90	setup/henyey_eliminate.f90	reduce -> henyey_eliminate	PROPOSE	forward-elimination step of the Henyey solve
setup/remap.f90	setup/map_user_inputs.f90	remap -> map_user_inputs	QUERY	read-path; converts friendly namelist inputs to code vectors
setup/rscale.f90	setup/rescale_model.f90	rscale -> rescale_model	PROPOSE	mass/composition rescaling at card start
setup/setcal.f90	setup/setup_solar_calibration.f90	setcal -> setup_solar_calibration	PROPOSE	expands run list into calibration triples
setup/setscal.f90	setup/setup_star_calibration.f90	setscal -> setup_star_calibration	PROPOSE	expands run list into HR-target pairs
setup/setscv.f90	setup/scv_eos_compare.f90	setscv -> scv_eos_compare	QUERY	EOS-comparison diagnostic; possibly dead -- investigate
setup/setups.f90	setup/setup_tables.f90	setups -> setup_tables	PROPOSE	constants + all physics-table loads
setup/setupv.f90	setup/rotation_stability_setup.f90	setupv -> rotation_stability_setup	QUERY	prepares rotational-mixing stability calc; confirm V meaning
util/htimer.f90	util/compute_timestep.f90	htimer -> compute_timestep	PROPOSE	the timestep driver
util/entime.f90	util/timestep_limit_hr.f90	entime -> timestep_limit_hr	PROPOSE	limit from Teff/L change
util/ptime.f90	util/timestep_limit_structure.f90	ptime -> timestep_limit_structure	PROPOSE	limit from T/P/R/L shell changes
util/wtime.f90	util/timestep_limit_omega.f90	wtime -> timestep_limit_omega	PROPOSE	limit from max omega change
util/xtime.f90	util/timestep_limit_hburn.f90	xtime -> timestep_limit_hburn	PROPOSE	limit from central-H depletion
util/ytime.f90	util/timestep_limit_heburn.f90	ytime -> timestep_limit_heburn	PROPOSE	limit from He-burning
util/xrng4.f90	util/interp_bracket4.f90	xrng4 -> interp_bracket4	KEEP-OK	4-point bracket finder; minor
util/zero.f90	util/zero.f90	(keep)	KEEP	trivial and clear
wind/wind.f90	wind/kawaler_wind.f90	wind -> kawaler_wind	PROPOSE	legacy Kawaler/Weber-Davis AM-loss law
wind/mwind.f90	wind/matt_wind.f90	mwind -> matt_wind	PROPOSE	Matt et al. wind law
wind/cowind.f90	wind/wind_spindown.f90	cowind -> wind_spindown	PROPOSE	surface-CZ delta-omega from AM loss (Kawaler branch)
wind/mcowind.f90	wind/wind_spindown_matt.f90	mcowind -> wind_spindown_matt	PROPOSE	Matt-branch spindown
wind/mdot.f90	wind/mass_loss_rate.f90	mdot -> mass_loss_rate	KEEP-OK	mdot is standard notation; rename optional
wind/amcalc.f90	wind/accretion_torque.f90	amcalc -> accretion_torque	QUERY	G Somers 6/16; confirm what it computes before naming
wind/wcz.f90	wind/wcz.f90	(keep)	KEEP	documented dead code, kept deliberately
eos/eqstat.f90	eos/eqstat.f90	(keep)	KEEP	facade-internal, heavily documented under this name
eos/yale/eqrelv.f90	eos/yale/fully_ionized_eos.f90	eqrelv -> fully_ionized_eos	PROPOSE	relativistic fully-ionized branch
eos/yale/eqsaha.f90	eos/yale/saha_eos.f90	eqsaha -> saha_eos	PROPOSE	Prather partial-ionization Saha solve
eos/mu.f90	eos/mean_molecular_weight.f90	mu -> mean_molecular_weight_check	KEEP-OK	mu is standard; rename optional
eos/opal/*	(keep families)	(keep)	KEEP	versioned reader families (esac/oeqos/readco/quad/rhoofp/t6rint x 95/01/06); self-consistent, byte-pinned, headers explain; rename = churn
eos/mhd/*	(keep families)	(keep)	KEEP	same reasoning (meqos/mhdst/mhdpx/mhdtbl families)
eos/scv/*	(keep families)	(keep)	KEEP	eqscve/eqscvg documented
kap/kurucz90/setkrz.f90	kap/kurucz90/read_kurucz_tables.f90	setkrz -> read_kurucz_tables	PROPOSE	reads tables + builds splines
kap/kurucz90/ykoeff.f90	kap/kurucz90/kurucz_spline_coeffs.f90	ykoeff -> kurucz_spline_coeffs	PROPOSE	cubic-spline coefficients
kap/opal92/setllo.f90	kap/opal92/read_opal92_tables.f90	setllo -> read_opal92_tables	PROPOSE	LLO = Lawrence Livermore Opacity
kap/opal92/ll4th.f90	kap/opal92/opal92_surface_table.f90	ll4th -> opal92_surface_table	PROPOSE	4th (surface-abundance) table builder
kap/opal92/yllo2d.f90	kap/opal92/opal92_interp2d.f90	yllo2d -> opal92_interp2d	PROPOSE	+ yllo2d2/yllo3d/yllo3d2/ylloc siblings likewise
kap/opal95/op952d.f90	kap/opal95/opal95_interp2d.f90	op952d -> opal95_interp2d	PROPOSE	+ op953d/op954d/op95xtab/op95ztab siblings likewise
kap/alex94/alxtbl.f90	kap/alex94/read_alex94_tables.f90	alxtbl -> read_alex94_tables	PROPOSE	+ alx8th/alxztab/yalo3d siblings likewise
kap/laol89/*	(keep families)	(keep)	KEEP-OK	gtlaol/rdlaol/sulaol families; rename optional (get/read/spline_laol)
