group	legacy	type	default	proposed_name	status	mesa_note	doc
control	lstatm	logical	.false.*	store_atm_profile	proposed		Include the atmosphere layers in stored models
control	lstenv	logical	.false.*	store_env_profile	proposed		Include the envelope in stored models
control	lstmod	logical	.false.*	store_interior_profile	proposed		Include the interior in stored models
control	lstphys	logical	.false.*	store_physics_columns	proposed		Include physics (EOS/opacity) columns in stored models
control	lstrot	logical	.false.*	store_rotation_columns	proposed		Include rotation columns in stored models
control	lpulse	logical	.false.	pulsation_output_active	canonical		former common/pulse/: pulsation_output_active/pulsation_file_version (originally lpulse/ipver) are NAMELIST values with different canonical spellings, kept local in core/
control	lzramp	logical	.false.	use_z_ramp	canonical		
control	lteff	logical	.false.*	specify_teff_flag	canonical		
control	lcalst	logical	.false.*	calibrate_star_flag	canonical		
control	lpurez	logical	.false.	use_pure_z_table	canonical		
control	liso	logical	.false.*	isochrone_output_active	canonical		former common/chrone/: lrwsh_placeholder/isochrone_output_active (originally lrwsh/liso) are NAMELIST values with different canonical spellings, kept local in core/parmin
control	lrwsh	logical	.false.*	lrwsh_placeholder	canonical		former common/chrone/: lrwsh_placeholder/isochrone_output_active (originally lrwsh/liso) are NAMELIST values with different canonical spellings, kept local in core/parmin
control	lsenv0a	logical(50)	.false.*	has_senv0_array	canonical		
control	lpout	logical	.false.*	po_output_enabled	canonical		
control	lcals	logical	.false.*	calibrate_solar_model	canonical		
control	lcalsolzx	logical	.false.*	calibrate_solar_zx	canonical		
control	llaol89	logical	.false.*	use_laol89_tables	canonical		
control	lopal92	logical	.false.*	use_opal92_tables	canonical		
control	lopal95	logical	.false.*	use_opal95_tables	canonical		
control	lkur90	logical	.false.*	use_kurucz90_tables	canonical		
control	lalex95	logical	.false.*	use_alex95_tables	canonical		
control	npoint	integer	0*	debug_print_interval	verified		hpoint debug print every N models (9999 = off)
control	npenv	integer	0*	envelope_print_points	verified		Envelope profile print count (values <= 0 become 9999 = off)
control	nprtmod	integer	0*	profile_model_interval	proposed		Write a stored model every N models
control	nprtpt	integer	1	print_point_interval	canonical		
control	numrun	integer	0*	num_runs	canonical		
control	nmodls	integer(50)	0*	max_model_number	canonical	mesa: max_model_number	
control	opecalex	string(7)	'OPACALEXANDER.X00',	alex_z_value	todo		TODO verify: Z of the Alexander opacity table in use
control	poa	real	0.0*	po_weight_l	canonical		former common/po/: po_weight_l/po_weight_teff/po_weight_age/ po_max_len_sq/po_output_enabled (originally poa/pob/poc/pomax/ lpout) are NAMELIST values with different cano
control	pob	real	0.0*	po_weight_teff	canonical		former common/po/: po_weight_l/po_weight_teff/po_weight_age/ po_max_len_sq/po_output_enabled (originally poa/pob/poc/pomax/ lpout) are NAMELIST values with different cano
control	poc	real	0.0*	po_weight_age	canonical		former common/po/: po_weight_l/po_weight_teff/po_weight_age/ po_max_len_sq/po_output_enabled (originally poa/pob/poc/pomax/ lpout) are NAMELIST values with different cano
control	pomax	real	0.0*	po_max_len_sq	canonical		
control	rsclm	real(50)	0.0*	rescale_mass	proposed	mesa: new_mass	Per-run target mass (Msun) for rescale runs
control	rsclx	real(50)	0.0*	rescale_x	proposed		Per-run target hydrogen fraction for rescale runs
control	rsclz	real(50)	0.0*	rescale_z	proposed	mesa: new_Z	Per-run target metallicity for rescale runs
control	rsclcm	real(50)	0.0*	rescale_core_mass	proposed		Per-run rescale: core mass bound
control	rsclzc	real(50)	0.0*	rescale_core_z	verified		rscale/setcal: core-Z rescale target
control	rsclzm1	real(50)	0.0*	rescale_z_mix1	verified		rscale/setcal: Z-mix rescale parameter 1
control	rsclzm2	real(50)	0.0*	rescale_z_mix2	verified		rscale/setcal: Z-mix rescale parameter 2
control	setdt	real(50)	0.0*	timestep_override	canonical		
control	senv0a	real(50)	0.0*	senv0_array	canonical		
control	steff	real	0.0*	target_teff	canonical		
control	sr	real	0.0*	target_radius_rsun	canonical		
control	tolr	real	0.0*	radius_tolerance	canonical		former common/cals2/: luminosity_tolerance/radius_tolerance/ zx_tolerance/calibrate_solar_model/calibrate_solar_zx/ target_solar_zx/target_solar_age (originally toll/tolr
control	toll	real	0.0*	luminosity_tolerance	canonical		former common/cals2/: luminosity_tolerance/radius_tolerance/ zx_tolerance/calibrate_solar_model/calibrate_solar_zx/ target_solar_zx/target_solar_age (originally toll/tolr
control	tolz	real	0.0*	zx_tolerance	canonical		
control	xenv0a	real(50)	0.0*	initial_x_array	canonical		former common/newxym/: initial_x_array/initial_z_array/ mixing_length_array/has_senv0_array/senv0_array (originally xenv0a/ zenv0a/cmixla/lsenv0a/senv0a) are NAMELIST val
control	xls	real	0.0*	target_luminosity_lsun	canonical		former common/calstar/: target_luminosity_lsun/ target_star_luminosity_tolerance/target_teff/target_radius_rsun/ specify_teff_flag/calibrate_star_flag (originally xls/xls
control	xlstol	real	0.0*	target_star_luminosity_tolerance	canonical		
control	zenv0a	real(50)	0.0*	initial_z_array	canonical		former common/newxym/: initial_x_array/initial_z_array/ mixing_length_array/has_senv0_array/senv0_array (originally xenv0a/ zenv0a/cmixla/lsenv0a/senv0a) are NAMELIST val
control	zlaol1	real	0.0*	laol_table_z1	canonical		former common/newopac/: laol_table_z1/laol_table_z2/opal_table_z1/ opal_table_z2/opal95_single_table_z/alex_table_z1/kurucz_table_z1/ kurucz_table_z2/molecular_opacity_lo
control	zlaol2	real	0.0*	laol_table_z2	canonical		former common/newopac/: laol_table_z1/laol_table_z2/opal_table_z1/ opal_table_z2/opal95_single_table_z/alex_table_z1/kurucz_table_z1/ kurucz_table_z2/molecular_opacity_lo
control	zopal1	real	0.0*	opal_table_z1	canonical		former common/newopac/: laol_table_z1/laol_table_z2/opal_table_z1/ opal_table_z2/opal95_single_table_z/alex_table_z1/kurucz_table_z1/ kurucz_table_z2/molecular_opacity_lo
control	zopal2	real	0.0*	opal_table_z2	canonical		
control	zopal951	real	0.0*	opal95_single_table_z	canonical		
control	zopal952	real	0.0*	opal95_z2	proposed		Second Z of the OPAL95 opacity table pair
control	zalex1	real	0.0*	alex_table_z1	canonical		
control	zalex2	real	0.0*	alex_z2	proposed		Second Z of the Alexander table pair
control	zkur1	real	0.0*	kurucz_table_z1	canonical		
control	zkur2	real	0.0*	kurucz_table_z2	canonical		
control	fopale01	string	''*	opal01_eos_table_file	proposed		OPAL 2001 EOS table
control	fcondopacp	string	''*	conductive_opacity_table_file	proposed		Potekhin conductive opacity table
control	fopale06	string	''*	opal06_eos_table_file	proposed		OPAL 2006 EOS table
control	falex06	string	''*	alex06_opacity_table_file	proposed		Ferguson/Alexander 2006 low-T opacity tables
control	lalex06	logical	.false.*	use_alex06_tables	canonical		
control	end_dcen	real(50)	0.0*	central_deuterium_stop	canonical	mesa: log_center_density_limit	
control	end_xcen	real(50)	0.0*	central_hydrogen_stop	canonical	mesa: xa_central_lower_limit	
control	end_ycen	real(50)	0.0*	central_helium_stop	canonical	mesa: xa_central_lower_limit (He)	
control	isetmix	integer	0*	mixture_change_mode	canonical		former common/newmx/: mixture_change_mode/isotope_change_mode/ target_carbon_cno_fraction/target_nitrogen_cno_fraction/ target_oxygen_cno_fraction/c12_to_c13_ratio/n14_to
control	isetiso	integer	0*	isotope_change_mode	canonical		former common/newmx/: mixture_change_mode/isotope_change_mode/ target_carbon_cno_fraction/target_nitrogen_cno_fraction/ target_oxygen_cno_fraction/c12_to_c13_ratio/n14_to
control	amix	string	''*	cno_mixture_name	proposed		Heavy-element mixture selector (GS98/CUS/...) applied to the start model
control	aiso	string	''*	isotope_mixture_name	proposed		Isotope-ratio set selector (L21 default or CUS custom)
control	frac_c	real	0.0*	target_carbon_cno_fraction	canonical		
control	frac_n	real	0.0*	target_nitrogen_cno_fraction	canonical		
control	frac_o	real	0.0*	target_oxygen_cno_fraction	canonical		
control	r12_13	real	0.0*	c12_to_c13_ratio	canonical		
control	r14_15	real	0.0*	n14_to_n15_ratio	canonical		
control	r16_17	real	0.0*	o16_to_o17_ratio	canonical		
control	r16_18	real	0.0*	o16_to_o18_ratio	canonical		
control	zxmix	real	0.0*	target_metal_fraction	canonical		
control	xh2_ini	real	0.0*	initial_h2_fraction	canonical		
control	xhe3_ini	real	0.0*	initial_he3_fraction	canonical		
control	xli6_ini	real	0.0*	initial_li6_fraction	canonical		
control	xli7_ini	real	0.0*	initial_li7_fraction	canonical		
control	xbe9_ini	real	0.0*	initial_be9_fraction	canonical		
control	xb10_ini	real	0.0*	initial_b10_fraction	canonical		
control	xb11_ini	real	0.0*	initial_b11_fraction	canonical		
control	pulse_gyre_interval	integer	0*	pulse_gyre_interval	keep		former common/pulsegyre/: pulse_gyre_interval is a NAMELIST /control/ value spelled identically to its canonical name.
physics	atmmin	real	0.0*	atm_step_min	canonical		
physics	atmbeg	real	0.0*	atm_step_begin	canonical		former common/intatm/: all 5 members are NAMELIST /physics/ values with different canonical spellings than core/parmin.f90's terse names (atmerr/atmd0/atmbeg/atmmin/atmma
physics	atmerr	real	0.0*	atm_error_tol	canonical		former common/intatm/: all 5 members are NAMELIST /physics/ values with different canonical spellings than core/parmin.f90's terse names (atmerr/atmd0/atmbeg/atmmin/atmma
physics	atmmax	real	0.0*	atm_step_max	canonical		
physics	atmd0	real	0.0*	atm_step_initial	canonical		former common/intatm/: all 5 members are NAMELIST /physics/ values with different canonical spellings than core/parmin.f90's terse names (atmerr/atmd0/atmbeg/atmmin/atmma
physics	anewcp	string	''*	change_species_name	verified		Element id whose abundance to override in the start model (with change_species_value)
physics	atmp	string	''*	atm_print_flag	todo		TODO verify
physics	acfpft	real	0.0*	fpft_average_weight	verified		Averaging weight in the fp/ft update (shape, checkj)
physics	atime	real(14)	0.0*	timestep_factors	verified		Per-phase timestep-control factor array (wtime/ytime governors)
physics	alphac	real	0.0*	overshoot_alpha_core	proposed	~ MESA overshoot f	Core overshoot extent in pressure scale heights
physics	alphae	real	0.0*	overshoot_alpha_envelope	proposed		Envelope overshoot extent in pressure scale heights
physics	alfa	real	0.0*	wind_law_index	verified		Kawaler wind-law index: JDOT ~ FK * OMEGA^(1+4a/3) * ... (echoed as WIND IND.)
physics	alpham	real	0.0*	overshoot_alpha_min	verified		oversh: minimum overshoot alpha
physics	atmstp	real	0.0*	atm_step_size	canonical		former common/envgen/: all 3 members are NAMELIST values with different canonical spellings, kept local in core/parmin.f90 and copy-assigned.
physics	abstol	real	0.0*	absolute_tolerance	canonical		former common/burtol/: min_abundance/absolute_tolerance/ relative_tolerance/max_burn_iterations (originally cmin/abstol/ reltol/kemmax) are NAMELIST values with different
physics	betac	real	0.0*	overshoot_beta_core	verified		oversh: core overshoot shape parameter
physics	cmin	real	0.0*	min_abundance	canonical		former common/burtol/: min_abundance/absolute_tolerance/ relative_tolerance/max_burn_iterations (originally cmin/abstol/ reltol/kemmax) are NAMELIST values with different
physics	clsun	real	0.0*	solar_luminosity_cgs	canonical		former common/const/: solar physical constants (luminosity, mass, radius in cgs, plus their log10/ln/bolometric-magnitude derivatives), all computed once at startup in se
physics	crsun	real	0.0*	solar_radius_cgs	canonical		
physics	dpenv	real	0.0*	envelope_logP_step	verified		mix: envelope pressure step control
physics	dtdif	real	0.0*	diffusion_timestep_factor	proposed		Sub-timestep factor for rotation diffusion
physics	dtwind	real	1.0d1	max_domega_global	canonical		former common/ct2/: max_domega_global (originally dtwind) is a NAMELIST value with a different canonical spelling, kept local in core/parmin.f90 and copy-assigned.
physics	djok	real	1.0d-4	convergence_tolerance	canonical		
physics	dt_gs	real	0.0*	settling_timestep_fraction	canonical		former common/gravs2/: all 4 members are NAMELIST /physics/ values, each with a different canonical spelling than core/parmin.f90's terse names (dt_gs/xmin/ymin/lthoulfit
physics	enverr	real	0.0*	env_error_tol	canonical		former common/intenv/: all 4 members are NAMELIST /physics/ values with different canonical spellings than core/parmin.f90's terse names (enverr/envbeg/envmin/envmax -> e
physics	envmax	real	0.0*	env_step_max	canonical		
physics	envmin	real	0.0*	env_step_min	canonical		former common/intenv/: all 4 members are NAMELIST /physics/ values with different canonical spellings than core/parmin.f90's terse names (enverr/envbeg/envmin/envmax -> e
physics	envbeg	real	0.0*	env_step_begin	canonical		former common/intenv/: all 4 members are NAMELIST /physics/ values with different canonical spellings than core/parmin.f90's terse names (enverr/envbeg/envmin/envmax -> e
physics	envstp	real	0.0*	envelope_step_size	canonical		former common/envgen/: all 3 members are NAMELIST values with different canonical spellings, kept local in core/parmin.f90 and copy-assigned.
physics	etadh0	real	0.0*	debye_huckel_eta_min	canonical		
physics	etadh1	real	0.0*	debye_huckel_eta_max	canonical		
physics	fcorr0	real	0.0*	solver_correction_factor0	todo		TODO verify: under-relaxation factor, first iterations
physics	fcorri	real	0.0*	solver_correction_factor	todo		TODO verify: under-relaxation factor, later iterations
physics	fk	real	0.0*	wind_law_constant	verified		Kawaler/PMM wind-law constant factor FK in the JDOT formula
physics	fw	real	0.0*	difad_velocity_scale	canonical		
physics	fc	real	0.0*	mixing_velocity_scale	canonical		
physics	fo	real	0.0*	coupling_factor	verified		Echoed as COUPLING in the .short header; no other functional use found
physics	fmu	real	0.0*	mu_gradient_scale	canonical		
physics	fes	real	0.0*	es_velocity_scale	canonical		
physics	fcore	real	0.0*	core_mass_reduction_factor	canonical		
physics	fgsf	real	0.0*	gsf_velocity_scale	canonical		
physics	fss	real	0.0*	secular_shear_velocity_scale	canonical		
physics	fesc	real	0.0*	es_mixing_scale	canonical		
physics	fssc	real	0.0*	secular_shear_mixing_scale	canonical		
physics	fgsfc	real	0.0*	gsf_mixing_scale	canonical		
physics	fgry	real	0.0*	settling_y_factor	verified		Gravitational settling multiplier for helium (microdiff)
physics	fgrz	real	0.0*	settling_z_factor	verified		Gravitational settling multiplier for metals (microdiff)
physics	grtol	real	0.0*	settling_tolerance	canonical		former common/gravst/: all 4 members are NAMELIST /physics/ values, each with a different canonical spelling than core/parmin.f90's terse names (grtol/ilambda/niter_gs/ld
physics	htoler	real(5,2)	0.0*	solver_tolerance	todo		TODO verify: Henyey convergence tolerance
physics	hpttol	real(12)	1.0d-8,8.0d-2,5.0d-2,5.0d-2,1.0d0,1.0d0,0.0d0,5.0d-2, &	rezone_mass_spacing	unused		DEAD: referenced nowhere (functional-ref scan incl. parmin internals and echoes); legacy path only
physics	itfp1	integer	0*	fpft_iter1	verified		shape/fpft iteration bound 1
physics	itfp2	integer	0*	fpft_iter2	verified		shape/fpft iteration bound 2
physics	imax	integer	0*	max_stage_index	canonical		
physics	itdif1	integer	0*	num_rotation_structure_iters	proposed		Structure<->rotation iterations per step (itrot loop)
physics	itdif2	integer	0*	max_diffusion_iters	proposed		Rotation diffusion-solve iteration limit (seculr/checkj)
physics	ies	integer	0*	enable_eddington_sweet	unused		DEAD: referenced nowhere (functional-ref scan incl. parmin internals and echoes); legacy path only
physics	igsf	integer	1	gsf_inhibition_mode	canonical		
physics	imu	integer	0*	enable_mu_gradient	unused		DEAD: referenced nowhere (functional-ref scan incl. parmin internals and echoes); legacy path only
physics	ilambda	integer	0*	coulomb_log_choice	canonical		
physics	kttau	integer	0	atm_choice	canonical	mesa: atm_option (int code here)	former common/atmos/: atm_choice (originally kttau) is a NAMELIST value with a different canonical spelling, kept local in core/parmin.f90 and copy-assigned. atm_choice_i
physics	kemmax	integer	0*	max_burn_iterations	canonical		
physics	lvfc	logical	.false.*	velocity_form_correction	verified		codiff option: alternative velocity form in diffusion coefficients
physics	ldifad	logical	.false.	use_diffusion_advection_transport	canonical		
physics	lnoj	logical	.false.	no_am_transport_in_core	canonical		former common/notran/: no_am_transport_in_core (originally lnoj) is a NAMELIST value with a different canonical spelling, kept local in core/parmin.f90 and copy-assigned.
physics	lnewdif	logical	.false.	use_new_diffusion_routines	canonical		former common/gravs4/: use_new_diffusion_routines (originally lnewdif) is a NAMELIST value with a different canonical spelling, so core/parmin.f90 keeps a local lnewdif a
physics	ldify	logical	.false.*	diffuse_helium_active	canonical		
physics	ldifz	logical	.false.	use_diffusion_z	canonical		
physics	ldifli	logical	.false.*	diffuse_lithium	proposed		Include Li/Be in gravitational settling
physics	lsnu	logical	.false.*	calc_neutrinos	proposed		Compute solar neutrino fluxes
physics	ldh	logical	.false.*	use_debye_huckel_correction	canonical		
physics	lnewcp	logical	.false.*	rescale_species_active	canonical		
physics	lkuthe	logical	.false.	helium_flash_active	canonical		former common/heflsh/: helium_flash_active (originally lkuthe) is a NAMELIST value with a different canonical spelling, kept local in core/parmin.f90 and copy-assigned.
physics	lovstc	logical	.false.*	core_overshoot_active	proposed		Enable convective-core overshoot
physics	lovste	logical	.false.	envelope_overshoot_active	canonical		
physics	lovstm	logical	.false.*	min_overshoot_active	todo		TODO verify: third overshoot switch (with lovstc/lovste)
physics	lovmax	logical	.false.*	overshoot_max_extent_flag	verified		oversh: cap overshoot extent option
physics	lexcom	logical	.false.	use_extended_composition	canonical		former common/flag/: single NAMELIST /physics/ member selecting the extended (15-species) vs. default composition array. Same namelist-can't-rename treatment as use_itoh_
physics	lrot	logical	.false.*	rotation_flag	canonical	mesa: rotation_flag	
physics	lnew0	logical	.false.*	new_triangle_init_flag	verified		Force a fresh envelope-fit triangle at run start
physics	linstb	logical	.false.*	instability_transport_active	canonical		
physics	lwnew	logical	.false.*	set_initial_omega	proposed		Initialize solid-body rotation at omega = initial_omega
physics	ljdot0	logical	.false.*	use_wind_torque	proposed		Apply magnetic wind angular-momentum loss
physics	lptime	logical	.true.	use_structure_dt_limits	canonical		former common/ct3/: use_structure_dt_limits (originally lptime) is a NAMELIST value with a different canonical spelling, kept local in core/parmin.f90 and copy-assigned.
physics	ladov	logical	.false.*	adiabatic_overshoot_active	verified		tpgrad: treat overshoot region adiabatically
physics	ltrist	logical	.false.	use_envelope_triangle_dt	canonical		former common/govs/: use_envelope_triangle_dt (originally ltrist) is a NAMELIST value with a different canonical spelling, kept local in core/parmin.f90 and copy-assigned
physics	lenvg	logical	.false.*	envelope_generation_flag	canonical		
physics	lnulos1	logical	.false.	use_itoh_neutrino_loss	canonical		former common/nuloss/'s one config member: switch selecting the Itoh 1996 neutrino-loss routines (net_lib.f90's engeb), a NAMELIST /physics/ value. core/parmin.f90's loca
physics	lthoul	logical	.false.*	use_thoul_diffusion	proposed		Thoul et al. diffusion coefficients
physics	lthoulfit	logical	.false.*	use_thoul_fit	canonical		
physics	lopale	logical	.false.*	use_opal95_eos	canonical		former common/opaleos/: use_opal95_eos/use_opal2001_eos/ use_opal2006_eos/use_numerical_derivatives (originally lopale/ lopale01/lopale06/lnumderiv) are NAMELIST values w
physics	lmhd	logical	.false.	use_mhd_eos	canonical		former common/mhd/: use_mhd_eos is a NAMELIST /physics/ value (core/parmin.f90's lmhd, kept local there and copy-assigned). unit_zams_a/b/c/unit_centre1-5 (former common/
physics	lcore	logical	.false.*	extend_core_inward	canonical		former common/core/: extend_core_inward/num_core_shells_added/ core_mass_reduction_factor (originally lcore/mcore/fcore) are NAMELIST values with different canonical spel
physics	lsemic	logical	.false.*	use_semiconvection	proposed		Semiconvection treatment (conflicts with core overshoot)
physics	lnews	logical	.false.*	improved_first_guess_flag	proposed		Use stored structure changes for the next model's first guess
physics	mcore	integer	0*	num_core_shells_added	canonical		
physics	niter1	integer	0*	max_iter_level1	proposed		Henyey iteration limit, level 1 (fresh surface BC)
physics	niter2	integer	0*	max_iter_level2	proposed		Henyey iteration limit, level 2
physics	niter3	integer	0*	max_iter_level3	proposed		Henyey iteration limit, level 3
physics	niter4	integer	0*	max_iter_level4	proposed		Henyey iteration limit, level 4 (high precision)
physics	nuse	integer	0*	extrap_order	canonical		
physics	niter_gs	integer	0*	settling_num_iterations	canonical		
physics	optol	real	1.0d-8	metal_fraction_match_tolerance	canonical		former common/optab/: metal_fraction_match_tolerance is a NAMELIST /physics/ value (core/parmin.f90's optol, kept local there and copy-assigned). zsi/idt/idd (former comm
physics	rcrit	real	0.0*	critical_reynolds	canonical		
physics	reltol	real	0.0*	relative_tolerance	canonical		
physics	stolr0	real	0.0*	tolerance_fraction	canonical		
physics	tcut	real(5)	0.0*	nuclear_logT_cutoffs	proposed		log T cutoffs (5) below which burning groups are switched off
physics	tscut	real	0.0*	saha_log10t_cutoff	canonical		
physics	tenv0	real	0.0*	rezone_env_logT0	verified		hpoint envelope rezoning temperature bound (lower)
physics	tenv1	real	0.0*	rezone_env_logT1	verified		hpoint envelope rezoning temperature bound (upper)
physics	tgcut	real	0.0*	gradient_logT_cutoff	verified		tpgrad: above this logT simplified gradient handling applies
physics	tridt	real	0.0*	tri_delta_teffl	canonical		former common/cenv/: lnew0 is a NAMELIST /physics/ value spelled identically to its canonical name. tri_delta_teffl/tri_delta_logl (originally tridt/tridl) are also NAMEL
physics	tridl	real	0.0*	tri_delta_logl	canonical		former common/cenv/: lnew0 is a NAMELIST /physics/ value spelled identically to its canonical name. tri_delta_teffl/tri_delta_logl (originally tridt/tridl) are also NAMEL
physics	tollaol	?	?	laol_z_tolerance	todo		TODO verify: LAOL table Z-match tolerance
physics	vnew	real(12)	0.0*	mixture_weights_seed	proposed		Species mixture-weight vector seeding starin's mixture algorithm
physics	walpcz	real	0.0*	new_zone_omega_weight	verified		Omega interpolation weight for newly added envelope zones (getnewenv)
physics	wnew	real	0.0*	initial_omega	proposed		Initial rotation rate when set_initial_omega
physics	weakscreening	real	0.03d0	weak_screening_threshold	canonical		
physics	xnewcp	real	0.0*	change_species_value	verified		New abundance for change_species_name
physics	xmin	real	0.0*	hydrogen_diffusion_floor	canonical		
physics	ymin	real	0.0*	helium_diffusion_min	canonical		
physics	tmolmin	real	0.0*	molecular_opacity_logt_min	canonical		
physics	tmolmax	real	0.0*	molecular_opacity_logt_max	canonical		
physics	lmonte	logical	.false.*	monte_carlo_active	proposed		Monte-Carlo multi-realization mode
physics	imbeg	integer	0*	mc_run_start	proposed		First Monte-Carlo realization index
physics	imend	integer	0*	mc_run_end	proposed		Last Monte-Carlo realization index
physics	sstandard	real(17)	0.9828,1.0485,0.9815,0.9241,1.3818,1.0542,1.0, &	mc_standard_seed	unused		DEAD: referenced nowhere (functional-ref scan incl. parmin internals and echoes); legacy path only
physics	lscv	logical	.false.	use_scv_eos	canonical		
physics	ldisk	logical	.false.*	disk_locking_active	canonical		
physics	tdisk	real	0.0*	disk_temperature	canonical		former common/disk/: disk_temperature/disk_pressure/ disk_locking_active are NAMELIST /physics/ values (core/parmin.f90's tdisk/pdisk/ldisk, kept local there and copy-ass
physics	pdisk	real	0.0*	disk_pressure	canonical		
physics	wmax	real	0.0*	wind_saturation_omega	canonical		
